subject	activity	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyAccMag-mean()	tGravityAccMag-mean()	tBodyAccJerkMag-mean()	tBodyGyroMag-mean()	tBodyGyroJerkMag-mean()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAcc-meanFreq()-X	fBodyAcc-meanFreq()-Y	fBodyAcc-meanFreq()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyAccJerk-meanFreq()-X	fBodyAccJerk-meanFreq()-Y	fBodyAccJerk-meanFreq()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyGyro-meanFreq()-X	fBodyGyro-meanFreq()-Y	fBodyGyro-meanFreq()-Z	fBodyAccMag-mean()	fBodyAccMag-meanFreq()	fBodyBodyAccJerkMag-mean()	fBodyBodyAccJerkMag-meanFreq()	fBodyBodyGyroMag-mean()	fBodyBodyGyroMag-meanFreq()	fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag-meanFreq()	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-std()	tGravityAccMag-std()	tBodyAccJerkMag-std()	tBodyGyroMag-std()	tBodyGyroJerkMag-std()	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyAccMag-std()	fBodyBodyAccJerkMag-std()	fBodyBodyGyroMag-std()	fBodyBodyGyroJerkMag-std()
1	WALKING_DOWNSTAIRS	0.297664917	-0.01633281	-0.098991994	0.91794221	-0.157987101	0.028538005	0.068202121	-0.054540354	-0.008212022	-0.133968513	-0.02011428	0.022883334	-0.082390389	-0.085529658	-0.026663468	0.145128158	0.145128158	-0.043095554	-0.121250299	-0.396949175	0.119819585	0.10319157	-0.259509523	-0.37569474	0.130956398	0.058841877	0.044639341	0.003070024	-0.379517327	-0.228977002	-0.281809859	-0.209337147	-0.148634521	-0.348024344	-0.142571119	-0.097683224	-0.044802263	0.103287738	0.20592061	0.091562759	0.099240864	0.12377018	-0.264415581	0.092549285	-0.424463633	0.095763602	0.171828952	0.042828464	-0.227148403	-0.939943182	-0.925622549	-0.899847444	0.070640511	0.034301792	-0.431432808	-0.3017672	-0.361131257	-0.292909496	-0.289268427	-0.482966382	-0.266628918	0.146383163	0.146383163	0.053214779	-0.216269286	-0.4223563	0.185711963	-0.060674865	-0.272400494	-0.000117399	-0.00538975	-0.482603147	-0.354729999	-0.377682544	-0.416456919	-0.069589388	-0.019390595	-0.328307989	-0.462813777
1	WALKING_UPSTAIRS	0.249364677	-0.026599447	-0.122823394	0.86017297	-0.290770366	-0.15370872	0.080023974	0.027980638	0.012096861	0.031914696	-0.089873499	0.037669143	-0.129023167	-0.039018273	-0.039689959	-0.066077373	-0.066077373	-0.350631158	-0.173519152	-0.58494064	-0.261936733	-0.080433924	-0.346290254	-0.431077377	-0.145666327	-0.222586426	-0.360865571	-0.319008619	-0.564508123	-0.327055352	-0.449501749	-0.404963576	-0.390419739	-0.440962322	-0.262499414	-0.212561467	-0.310317086	-0.258578583	-0.235623003	-0.032325888	-0.32408069	0.075010458	-0.438341231	-0.141481593	-0.642464311	0.099665436	-0.204934094	0.031686116	-0.181490854	-0.940036228	-0.920038484	-0.900836826	-0.328888675	-0.291538591	-0.604815274	-0.47336827	-0.344602354	-0.209466654	-0.538849389	-0.646975917	-0.531009008	-0.232979082	-0.232979082	-0.361641885	-0.341744576	-0.650947784	-0.185324354	0.019782741	-0.164179808	-0.357153522	-0.31102281	-0.644475602	-0.503409248	-0.30097143	-0.26800188	-0.353432919	-0.419760451	-0.394959789	-0.68905915
2	WALKING	0.275033617	-0.017535493	-0.107300312	0.941616751	-0.207818799	-0.015665916	0.075589588	0.01880981	-0.000762827	-0.026141296	-0.06905904	0.084035013	-0.105307221	-0.053834838	-0.049396077	-0.185784627	-0.185784627	-0.240615792	-0.291507771	-0.478386922	-0.276252673	-0.033655863	-0.357780946	-0.261162657	0.12407416	0.093657989	-0.279338399	-0.123191512	-0.456036946	-0.222803191	-0.277256385	-0.190537942	-0.363783741	-0.400149284	-0.318428301	-0.023757468	-0.112457153	-0.031329703	-0.258401468	0.20723392	-0.166179471	0.034731033	-0.430649632	0.165533655	-0.525341176	0.083865836	-0.310386091	-0.04439873	-0.307308171	-0.976574628	-0.967962374	-0.956034773	-0.243285811	-0.058819904	-0.49563687	-0.487879627	-0.349609995	-0.356087415	-0.374485739	-0.531497023	-0.443724112	-0.32141965	-0.32141965	-0.157027767	-0.412720608	-0.504494959	-0.325625222	-0.112606709	-0.336372198	-0.274285759	-0.05291042	-0.534299809	-0.529173512	-0.328675324	-0.429656598	-0.466763888	-0.1521883	-0.50465196	-0.514235069
3	WALKING_DOWNSTAIRS	0.281279272	-0.01770348	-0.108857784	0.931969056	-0.1606422	-0.029707508	0.07970095	0.002234617	-0.002657457	-0.071205708	-0.066123239	0.109254999	-0.059774839	-0.052095972	-0.070331483	0.110193434	0.110193434	-0.091825287	-0.138162502	-0.423057587	0.083965577	0.069326328	-0.265758422	-0.377804974	0.023339821	0.111215369	-0.021740548	-0.086021198	-0.373699133	-0.290826191	-0.368290305	-0.19644205	-0.194758351	-0.352106017	-0.159817419	-0.150116551	-0.020202291	0.024287518	0.152383677	0.044213598	0.032573377	0.039914955	-0.31092728	0.062108954	-0.459771426	0.084887174	0.132101509	0.05440117	-0.25604853	-0.948515424	-0.934264552	-0.914761452	0.007187602	-0.037463072	-0.427458356	-0.318884653	-0.379101948	-0.286355275	-0.352969619	-0.495330493	-0.299406438	0.127121192	0.127121192	0.006129601	-0.26307918	-0.459782057	0.147646879	-0.02258552	-0.312593126	-0.054825155	-0.051297769	-0.480657899	-0.36347722	-0.404414147	-0.401046444	-0.065821412	-0.038759351	-0.363742872	-0.499953748
4	WALKING	0.278952168	-0.017970926	-0.109635509	0.931516519	-0.178564329	-0.021644374	0.079217927	0.002090165	0.005433657	-0.03579878	-0.069166328	0.081562533	-0.094084732	-0.035975402	-0.051091629	-0.161842616	-0.161842616	-0.255442219	-0.277710355	-0.481813164	-0.319558506	-0.016523209	-0.410348952	-0.274860292	0.002486662	0.039212208	-0.323463056	-0.178967345	-0.515303646	-0.254064102	-0.414132186	-0.265097109	-0.329738799	-0.428414497	-0.317536247	-0.112689767	-0.14437281	-0.029193478	-0.308237066	0.199868887	-0.243400478	0.104418429	-0.439633733	0.113457301	-0.564877698	0.136554302	-0.323370621	0.035483079	-0.32729683	-0.977781165	-0.966376713	-0.958636898	-0.274792858	-0.103923794	-0.539983719	-0.4427437	-0.382150931	-0.35746833	-0.380825483	-0.564272788	-0.428717614	-0.367999628	-0.367999628	-0.250081462	-0.4027769	-0.549854325	-0.326592292	-0.004418764	-0.337405262	-0.289804553	-0.083136944	-0.56365158	-0.481075576	-0.362570655	-0.432379266	-0.504347692	-0.265947535	-0.483238694	-0.563968601
5	WALKING_DOWNSTAIRS	0.288527291	-0.016257348	-0.107233285	0.932166588	-0.154324675	-0.038351885	0.072665678	0.013374868	-0.021729788	-0.109740136	-0.040491332	0.099441463	-0.076785456	-0.049801046	-0.052525681	0.094670132	0.094670132	-0.115955197	-0.16004843	-0.434342924	0.031629906	0.04102088	-0.231663924	-0.395927975	0.003644993	0.105230892	-0.067105683	-0.125330944	-0.335205709	-0.283615632	-0.389122262	-0.216015968	-0.226407635	-0.346252166	-0.200906673	-0.177589775	-0.029907339	0.015593771	0.13444789	0.030865724	0.005431575	0.029411573	-0.314475183	0.079580182	-0.454304492	0.094167987	0.104922289	0.039908298	-0.217097989	-0.952241855	-0.934970814	-0.913532057	-0.034627317	-0.080814067	-0.390356219	-0.34774234	-0.375859632	-0.318047071	-0.389858428	-0.489538496	-0.337424749	0.106653249	0.106653249	-0.013226954	-0.28283486	-0.458575549	0.128798829	-0.029183718	-0.275032521	-0.089682135	-0.095611827	-0.444712552	-0.39016473	-0.402704519	-0.426041674	-0.084711623	-0.04789952	-0.390779244	-0.504401985
6	WALKING_DOWNSTAIRS	0.289885693	-0.017108215	-0.105802217	0.92367892	-0.170816791	-0.031716568	0.130916051	-0.012942033	-0.012427777	-0.10038738	-0.037460739	0.096460308	-0.064766771	-0.063649657	-0.050637514	0.092165951	0.092165951	-0.10573739	-0.092441798	-0.370149106	0.020203459	0.065708814	-0.156916671	-0.399430921	-0.012842453	0.100005988	-0.081190322	-0.121051809	-0.279380336	-0.317374575	-0.390952774	-0.252613248	-0.210683883	-0.239016421	-0.140797096	-0.153587833	-0.071461674	-0.040105459	0.153459169	0.030694179	0.015134585	0.014358873	-0.226657415	0.090981979	-0.375106594	0.105638957	0.071126853	0.08000974	-0.136469172	-0.950126976	-0.932309033	-0.911189991	-0.043034831	-0.079958992	-0.340022092	-0.332648006	-0.257162349	-0.240983311	-0.36780032	-0.395322815	-0.3188443	0.112990229	0.112990229	0.001441584	-0.203480439	-0.378010443	0.086165172	0.017066387	-0.197916655	-0.090826381	-0.099533856	-0.400237536	-0.376108261	-0.277817063	-0.348380448	-0.08671645	-0.026514793	-0.334181149	-0.428163667
7	WALKING_DOWNSTAIRS	0.292326283	-0.014061845	-0.103178763	0.923542629	-0.183109202	-0.076847467	0.080274322	0.007344962	0.005155151	-0.082373109	-0.054008152	0.098063998	-0.087128658	-0.032678358	-0.047978815	0.10904378	0.10904378	-0.130005304	-0.130325123	-0.432940034	0.011885346	0.057041701	-0.194737707	-0.428289966	-0.015770132	0.077749797	-0.113860745	-0.129475924	-0.32927255	-0.361844114	-0.396913433	-0.26571656	-0.241406574	-0.319876704	-0.162595717	-0.202089367	-0.043320767	-0.072106699	0.131579472	-0.003760814	-0.024248574	-0.009005739	-0.296987012	0.044781942	-0.44986536	0.095220793	0.097157901	0.07225669	-0.161081253	-0.952167425	-0.936093796	-0.914388554	-0.064561419	-0.090894095	-0.383699747	-0.340147094	-0.338583012	-0.246848231	-0.418496972	-0.469818279	-0.348676249	0.119447576	0.119447576	-0.029918448	-0.250974163	-0.453715825	0.125882441	0.010807043	-0.212564563	-0.098291364	-0.111755208	-0.437570469	-0.375658972	-0.358372071	-0.346961112	-0.064215209	-0.047236256	-0.354578506	-0.499615194
8	SITTING	0.275368894	-0.01301839	-0.110587879	0.886201429	0.109036183	0.155106101	0.075955331	0.005016233	-0.00046359	-0.041345697	-0.065919621	0.065740872	-0.096070709	-0.041322415	-0.050023897	-0.948750773	-0.948750773	-0.980792126	-0.939340072	-0.9864675	-0.980103958	-0.946454488	-0.94733458	-0.076096001	0.028456713	0.056477921	-0.983117419	-0.972640861	-0.975709052	0.141603582	-0.084950444	-0.033417704	-0.974068542	-0.968066923	-0.9557827	0.020558184	-0.259186809	-0.026467213	-0.946039116	0.065098297	-0.974691841	0.274076488	-0.958027775	-0.108672621	-0.981155469	0.142123745	-0.980752304	-0.933907548	-0.927407086	-0.973253409	-0.954044143	-0.929630144	-0.982906066	-0.972501637	-0.978989259	-0.979233212	-0.961655134	-0.95233423	-0.982522578	-0.983677983	-0.982833463	-0.931097208	-0.931097208	-0.974646274	-0.943493761	-0.98010263	-0.981150684	-0.931660577	-0.922672623	-0.984272298	-0.974485395	-0.980950453	-0.980971777	-0.958673447	-0.955648106	-0.934112103	-0.973661291	-0.944395145	-0.979845948
8	WALKING_DOWNSTAIRS	0.289073584	-0.01607279	-0.100581693	0.91111954	-0.188229236	-0.123105062	0.070076497	-0.00274748	-0.020810301	0.009980726	-0.101559891	0.035649239	-0.084975019	-0.060064797	-0.049762303	0.084193435	0.084193435	-0.149504972	-0.131880784	-0.450556408	-0.021481946	0.018173095	-0.212487999	-0.409587881	-0.02791609	0.021086314	-0.134938838	-0.169739985	-0.36236241	-0.362527172	-0.416438401	-0.311405222	-0.241417709	-0.352470381	-0.175165391	-0.189474809	-0.080791777	-0.06923037	0.118761884	-0.005667156	-0.06157611	0.003600636	-0.328787421	0.032149083	-0.485324327	0.10695689	0.069531805	0.035929765	-0.147738567	-0.940674747	-0.935274043	-0.903284835	-0.075874719	-0.131214275	-0.412223483	-0.335922823	-0.360444477	-0.267873266	-0.425786735	-0.506486961	-0.357989842	0.104072546	0.104072546	-0.064858396	-0.283280737	-0.492620573	0.100240853	-0.021937703	-0.182580426	-0.097890993	-0.149453058	-0.461456199	-0.370423052	-0.372549357	-0.369476216	-0.079511175	-0.078843285	-0.380661246	-0.540507254
